no,stock_code,date,disclosure_class,title,summary,recommendation,confidence,ret_1d,dir_1d,res_1d,ret_5d,dir_5d,res_5d,reasoning,link
11,EKGYO,2017-05-12,ODA,Özel Durum Açıklaması (Genel),İzmir Konak Arsası 1.Etap İhale İlanı,AL,3,0.701733194108503,YATAY,DOĞRU,0.0,YATAY,YANLIŞ,"İzmir Konak gibi prestijli bir lokasyondaki arsanın ilk etap ihale ilanı, şirketin gelir beklentilerini ve proje devamlılığını artıran pozitif bir katalizör olarak algılanabilir.",https://www.kap.org.tr/tr/Bildirim/607150
12,GARAN,2018-08-13,ODA,Pay Dışında Sermaye Piyasası A...,TRFGRAN81810 ISIN Kodlu Borçlanma Aracı İtfas...,NÖTR,3,4.957275086421247,YÜKSELDİ,YANLIŞ,3.0769329237335463,YÜKSELDİ,YANLIŞ,"Borçlanma aracı itfası (kapatılması) genellikle şirketin borç yükünü azaltması ve finansal yapısını güçlendirmesi açısından olumlu algılansa da, kısa vadede hisse fiyatı üzerinde doğrudan ve belirgin bir etki yaratması beklenmez. Bu, rutin bir finansal operasyondur.",https://www.kap.org.tr/tr/Bildirim/703140
13,TUPRS,2016-04-28,ODA,Genel Kurul İşlemlerine İlişki...,Genel Kurul Kararlarının Tescili/The registra...,NÖTR,5,-0.6724771656149544,YATAY,DOĞRU,-4.303969498671956,DÜŞTÜ,YANLIŞ,"Genel kurul kararlarının tescili, şirketin yasal süreçlerini tamamladığını gösteren rutin ve rutin bir prosedürel adımdır. Bu tip bildirimler genellikle piyasa beklentisi dahilindedir ve hisse fiyatını doğrudan etkileyen bir operasyonel veya finansal değişiklik içermemektedir.",https://www.kap.org.tr/tr/Bildirim/526734
14,GARAN,2019-10-31,ODA,Pay Dışında Sermaye Piyasası A...,TR0GRAN01533 ISIN Kodlu Yapılandırılmış Borçl...,NÖTR,3,0.6521848296822409,YATAY,DOĞRU,5.760880660232604,YÜKSELDİ,YANLIŞ,Yapılandırılmış borçlanma aracının itfası (vadesi gelmesi) şirketin mevcut yükümlülüğünün sona ermesi anlamına gelir ve genellikle hisse fiyatı üzerinde doğrudan ve anlamlı bir kısa vadeli etki oluşturmaz.,https://www.kap.org.tr/tr/Bildirim/795806
15,AKBNK,2020-04-28,ODA,Pay Dışında Sermaye Piyasası A...,Nitelikli Yatırımcılara Yapılan Finansman Bon...,NÖTR,4,1.182426819217922,YÜKSELDİ,YANLIŞ,-3.7162163211361134,DÜŞTÜ,YANLIŞ,"Nitelikli yatırımcılara yönelik finansman bonosu ihracı, genellikle kısa vadede hisse fiyatını doğrudan etkileyen bir faktör değildir; şirketin finansman ihtiyacını karşılamak için yapılan standart bir işlem olup, piyasa tarafından genellikle nötr karşılanır.",https://www.kap.org.tr/tr/Bildirim/840879
16,AKBNK,2020-04-28,ODA,Pay Dışında Sermaye Piyasası A...,28.02.2020 Tarihli Akbank Finansman Bonosu İt...,NÖTR,4,1.182426819217922,YÜKSELDİ,YANLIŞ,-3.7162163211361134,DÜŞTÜ,YANLIŞ,Finansman bonosu itfası şirketin kısa vadeli borç yönetimi ve nakit akışı ile ilgili rutin bir operasyondur ve genellikle hisse fiyatı üzerinde doğrudan veya belirgin bir kısa vadeli etki yaratmaz.,https://www.kap.org.tr/tr/Bildirim/840875
17,GARAN,2020-04-30,ODA,Pay Dışında Sermaye Piyasası A...,TRFGRAN42051 ISIN Kodlu Borçlanma Aracı İtfas...,NÖTR,3,-2.1608713779914,DÜŞTÜ,YANLIŞ,-5.40215669547292,DÜŞTÜ,YANLIŞ,"Borçlanma aracı itfası, şirketin nakit akışını ve borç yükünü etkileyebilir ancak hisse fiyatı üzerinde doğrudan ve belirgin bir kısa vadeli etki yaratması genellikle beklenmez. İtfasın finansal sağlığa etkisi, itfa edilen tutara ve şirketin genel mali durumuna bağlıdır.",https://www.kap.org.tr/tr/Bildirim/841856
18,KCHOL,2020-04-02,ODA,Genel Kurul İşlemlerine İlişki...,Genel Kurul Toplantısı Sonucu,NÖTR,3,3.7149389410813116,YÜKSELDİ,YANLIŞ,16.87708064943588,YÜKSELDİ,YANLIŞ,"Genel kurul toplantısı sonuçları genellikle şirketin operasyonel performansından bağımsız, rutin ve idari nitelikte bir bilgidir. Özel bir olumlu veya olumsuz sürpriz içermediği müddetçe hisse fiyatı üzerinde kısa vadede belirgin bir yönlü etki yaratması beklenmez.",https://www.kap.org.tr/tr/Bildirim/834450
19,AKBNK,2018-08-03,ODA,Pay Dışında Sermaye Piyasası A...,21.06.2018 Tarihli Akbank Finansman Bonosu İt...,NÖTR,5,-3.04787318796079,DÜŞTÜ,YANLIŞ,-2.46733184176545,DÜŞTÜ,YANLIŞ,"2018 tarihli ve vadesi çoktan gelmiş bir finansman bonosunun itfası, şirketin olağan finansal yükümlülüklerini yerine getirmesidir. Bu durumun hisse fiyatına anlamlı bir kısa vadeli etkisi beklenmez.",https://www.kap.org.tr/tr/Bildirim/700202
20,THYAO,2017-05-05,ODA,Özel Durum Açıklaması (Genel),Bağımsız Yönetim Kurulu Üye Onayı,NÖTR,4,4.893952848680434,YÜKSELDİ,YANLIŞ,6.035883939133532,YÜKSELDİ,YANLIŞ,"Bağımsız Yönetim Kurulu Üye Onayı, şirketin kurumsal yönetim standartlarına uyumunu gösteren rutin bir operasyonel bilgidir ve genellikle hisse fiyatı üzerinde anlamlı bir kısa vadeli etkiye sahip değildir.",https://www.kap.org.tr/tr/Bildirim/605357
21,SAHOL,2023-05-22,ODA,Payların Geri Alınmasına İlişk...,Günlük Pay Geri Alım İşlemleri,AL,3,0.1675105169296662,YATAY,DOĞRU,1.4517153137205858,YÜKSELDİ,DOĞRU,"Şirketin günlük pay geri alım işlemlerini bildirmesi, piyasadaki likititeyi azaltarak ve şirketin kendi hisselerine olan güvenini göstererek hisse fiyatını destekleyen pozitif bir sinyaldir.",https://www.kap.org.tr/tr/Bildirim/1152907
22,AKBNK,2019-10-22,ODA,Pay Dışında Sermaye Piyasası A...,10.09.2019 Tarihli Akbank Finansman Bonosu İt...,NÖTR,4,1.6949033705904442,YÜKSELDİ,YANLIŞ,-1.8361777781009347,DÜŞTÜ,YANLIŞ,"Şirketin finansman bonosu itfası, operasyonel faaliyetlerden bağımsız bir finansman işlemidir ve hisse fiyatı üzerinde doğrudan ve anlamlı bir etki yaratması beklenmez.",https://www.kap.org.tr/tr/Bildirim/794231
23,SISE,2020-04-27,ODA,Birleşme İşlemlerine İlişkin B...,"Şirketimizin Anadolu Cam, Denizli Cam, Paşaba...",AL,4,-2.5193769051393358,DÜŞTÜ,YANLIŞ,-7.5581412497798315,DÜŞTÜ,YANLIŞ,"SISE'nin Anadolu Cam, Denizli Cam, Paşabahçe Cam, Soda Sanayii ve Trakya Cam'ı devralarak tek çatı altında toplaması, ölçek ekonomileri, maliyet avantajları ve kurumsal yönetim standartlarının yükselmesi açısından pozitif bir gelişmedir. Bu birleşme, sektördeki rekabet gücünü artırarak orta ve uzun vadede hisse fiyatına olumlu yansıyacaktır.",https://www.kap.org.tr/tr/Bildirim/840446
24,TUPRS,2020-04-24,ODA,Pay Dışında Sermaye Piyasası A...,TRSTPRS12115 ISIN KODLU 250 MİLYON TL TAHVİL ...,NÖTR,4,0.11663220829445795,YATAY,DOĞRU,0.9329549918416039,YATAY,DOĞRU,"Kupona bağlı faiz ödemesi, şirketin mevcut yükümlülüklerini zamanında yerine getirdiğini gösterir ve piyasa için sürpriz bir durum oluşturmaz. Kısa vadede hisse fiyatı üzerinde belirgin bir yönlendirme etkisi yaratması beklenmez.",https://www.kap.org.tr/tr/Bildirim/840192
25,THYAO,2021-03-15,ODA,Özel Durum Açıklaması (Genel),Şubat 2021 Trafik Sonuçları,NÖTR,2,0.3403751609734339,YATAY,DOĞRU,-15.452678761421987,DÜŞTÜ,YANLIŞ,"Şubat 2021 trafik sonuçları, pandemi döneminde normalleşme sürecinin başlangıcına işaret eden ancak henüz tam büyüme potansiyelini göstermeyen verilerdir. Kısa vadede hisse fiyatına doğrudan güçlü bir yönlendirici etkisi beklenmez.",https://www.kap.org.tr/tr/Bildirim/918171
26,SISE,2020-04-02,ODA,Pay Alım Satım Bildirimi,Soda Sanayii A.Ş. Pay Alım İşlemleri Hk.,NÖTR,3,-0.23866617818609032,YATAY,DOĞRU,5.727903951295858,YÜKSELDİ,YANLIŞ,"Pay alım satım bildirimleri genellikle belirli kişiler veya yöneticiler tarafından yapılan işlemleri bildirir ve bu durum şirketin genel değerlemesini veya kısa vadeli fiyat hareketini doğrudan belirleyen güçlü bir katalizör değildir. Başlık 'Pay Alım Satım Bildirimi' olduğu için, içerik detayı verilmese de genel piyasa algısı nötr kalır.",https://www.kap.org.tr/tr/Bildirim/834449
27,AKBNK,2019-10-22,ODA,Pay Dışında Sermaye Piyasası A...,Nitelikli Yatırımcılara Yapılan Finansman Bon...,NÖTR,4,1.6949033705904442,YÜKSELDİ,YANLIŞ,-1.8361777781009347,DÜŞTÜ,YANLIŞ,"Bankaların nitelikli yatırımcılara finansman bonosu ihraç etmesi, finansman maliyetini ve likidite yönetimini etkileyen rutin bir operasyondur. Doğrudan hisse fiyatını yukarı veya aşağı yönlendiren güçlü bir katalizör olmaktan çok, şirketin mevcut sermaye yapısını ve faiz ortamını yansıtan nötr bir gelişmedir.",https://www.kap.org.tr/tr/Bildirim/794232
28,TOASO,2021-03-16,ODA,Kar Payı Dağıtım İşlemlerine İ...,2020 yılı faaliyetlerinden elde edilen karın ...,AL,3,-0.972371631453661,YATAY,YANLIŞ,-9.247688096559099,DÜŞTÜ,YANLIŞ,"Kar payı dağıtımı, şirketin kârlılığına ve nakit akışına olan güveni gösterir; yatırımcılar tarafından genellikle olumlu karşılanır ve kısa vadede hisse fiyatını destekleyebilir.",https://www.kap.org.tr/tr/Bildirim/918537
29,FROTO,2020-04-29,ODA,Genel Kurul İşlemlerine İlişki...,Olağan Genel Kurul Tescili,NÖTR,5,1.6894694302377444,YÜKSELDİ,YANLIŞ,-8.527758089882528,DÜŞTÜ,YANLIŞ,Olağan Genel Kurul tescili rutin ve beklenen bir yasal süreçtir; kısa vadede hisse fiyatı üzerinde anlamlı bir pozitif veya negatif etki yaratması beklenmez.,https://www.kap.org.tr/tr/Bildirim/841097
30,SAHOL,2021-03-30,ODA,Yönetim Kurulu Komiteleri,Yönetim Kurulu Komiteleri Üyeliklerinin Belir...,NÖTR,4,0.11641143112071997,YATAY,DOĞRU,5.7519711047623945,YÜKSELDİ,YANLIŞ,"Yönetim kurulu komitelerinin belirlenmesi, şirketin kurumsal yönetişim standartlarına uyum sağladığını gösteren rutin bir prosedürel bildirimdir. Bu tür bildirimler genellikle hisse fiyatı üzerinde anlamlı bir kısa vadeli etki yaratmaz; olumlu bir etki için komitelere atanan isimlerin veya komitelerin yetki alanlarının (örneğin risk yönetimi veya denetimde önemli bir değişiklik) belirtilmesi gerekir.",https://www.kap.org.tr/tr/Bildirim/921926
31,SISE,2023-05-31,ODA,Kredi Derecelendirmesi,Kredi Derecelendirme Notu,NÖTR,1,1.3875109666231744,YÜKSELDİ,YANLIŞ,13.330031267058438,YÜKSELDİ,YANLIŞ,"Sadece 'Kredi Derecelendirme Notu' başlığı mevcut olup, notun yükselip alçaldığına veya hangi derecelendirme kuruluşundan geldiğine dair herhangi bir detay bulunmamaktadır. Bu nedenle yön belirlemek için veri yetersizdir.",https://www.kap.org.tr/tr/Bildirim/1154830
32,THYAO,2018-08-29,ODA,Haber ve Söylentilere İlişkin ...,Sabiha Gökçen Havalimanı'ndan Pay Alımına İli...,NÖTR,3,0.0,YATAY,DOĞRU,3.978296499019993,YÜKSELDİ,YANLIŞ,"Haberler ve söylentilere ilişkin açıklama, mevcut bir durumun teyidi veya yalanlanmasıdır. Kısa vadede hisse fiyatı üzerinde belirgin bir yönlü etki yaratması beklenmez.",https://www.kap.org.tr/tr/Bildirim/705671
33,ASELS,2016-04-27,ODA,Yeni İş İlişkisi,Sözleşme imzalanması,AL,3,-0.29824013312632913,YATAY,YANLIŞ,-5.6163067050241136,DÜŞTÜ,YANLIŞ,"ASELS'nin yeni bir iş ilişkisi başlatması ve sözleşme imzalaması, gelir büyümesi ve şirketin piyasadaki konumunun güçlenmesi olarak algılanabilir. Bu tür olumlu operasyonel gelişmeler genellikle kısa vadede hisse fiyatını yukarı yönlü destekler.",https://www.kap.org.tr/tr/Bildirim/526040
34,BIMAS,2023-05-16,ODA,Özel Durum Açıklaması (Genel),"Yönetim Kurulu Görev Dağılımı, Yönetim Kurulu...",NÖTR,4,-3.4233205134635596,DÜŞTÜ,YANLIŞ,-12.179081230081875,DÜŞTÜ,YANLIŞ,Gerekçe belirtilmedi.,https://www.kap.org.tr/tr/Bildirim/1151725
35,SISE,2020-04-27,ODA,Birleşme İşlemlerine İlişkin B...,"Şirketimizin Anadolu Cam, Denizli Cam, Paşaba...",AL,4,-2.5193769051393358,DÜŞTÜ,YANLIŞ,-7.5581412497798315,DÜŞTÜ,YANLIŞ,"Şirketin SPK'ya yaptığı devralma yoluyla birleşme başvurusu, piyasa tarafından genellikle şirketin büyüme stratejisini ve operasyonel verimliliğini artırma çabası olarak pozitif algılanabilir.",https://www.kap.org.tr/tr/Bildirim/840442
36,GARAN,2017-05-12,ODA,Pay Dışında Sermaye Piyasası A...,Nitelikli Yatırımcı Yapılandırılmış Borçlanma...,NÖTR,3,0.5376506172040745,YATAY,DOĞRU,1.6129044277926619,YÜKSELDİ,YANLIŞ,"Nitelikli yatırımcılara yönelik yapılandırılmış borçlanma aracı ihraç bildirimi, doğrudan hisse fiyatını belirleyen temel bir gelişme değildir; finansman kaynağı etkisi olabilir ancak piyasa fiyatlamasında belirleyici bir yön vermez.",https://www.kap.org.tr/tr/Bildirim/607082
37,AKBNK,2019-10-31,ODA,Pay Dışında Sermaye Piyasası A...,Nitelikli Yatırımcılara Yapılan Finansman Bon...,NÖTR,3,0.1445143143828407,YATAY,DOĞRU,6.069370944723142,YÜKSELDİ,YANLIŞ,"Nitelikli yatırımcılara yönelik finansman bonosu ihracı, bankanın kısa vadeli likidite ihtiyacını karşılamasına veya bilanço yönetimine yöneliktir. Bu işlem doğrudan hisse fiyatı üzerinde belirgin bir olumlu veya olumsuz etki yaratmaz, ancak bilanço yapısını etkileyebilir.",https://www.kap.org.tr/tr/Bildirim/795882
38,ENKAI,2019-10-23,ODA,Payların Geri Alınmasına İlişk...,Geri alınacak paylar,NÖTR,2,1.073347212669196,YÜKSELDİ,YANLIŞ,3.041149305583342,YÜKSELDİ,YANLIŞ,Pay geri alım bildirimleri genellikle hisse fiyatını destekleyici bir sinyal olarak algılanır; ancak yalnızca 'geri alınacak paylar' ifadesiyle sınırlı ve detaysız bir KAP başlığı nedeniyle etkisi sınırlı ve kısa vadede nötr kalabilir.,https://www.kap.org.tr/tr/Bildirim/794433
39,GARAN,2019-10-08,ODA,Pay Dışında Sermaye Piyasası A...,TR0GRAN014M9 ISIN Kodlu Yapılandırılmış Borçl...,NÖTR,4,-2.699909501116044,DÜŞTÜ,YANLIŞ,-10.591912619379855,DÜŞTÜ,YANLIŞ,"Yapılandırılmış borçlanma aracının itfa edilmesi, mevcut yükümlülüğün zamanında veya planlandığı şekilde sonlandırılmasıdır. Bu, genel olarak şirketin finansal durumunu doğrudan etkileyen büyük bir operasyonel gelişme olmaktan çok, teknik bir raporlama ve yükümlülük kapanış sürecidir. Hisse fiyatı üzerinde belirgin bir kısa vadeli pozitif veya negatif bir etki yaratması beklenmez.",https://www.kap.org.tr/tr/Bildirim/791295
40,FROTO,2020-04-03,ODA,Faaliyetlerin Kısmen veya Tama...,Üretime Ara Verilmesi,SAT,4,4.105856783601261,YÜKSELDİ,YANLIŞ,4.105856783601261,YÜKSELDİ,YANLIŞ,"Üretime ara verilmesi operasyonel aksaklıklara, gelir kaybına ve maliyet baskısına yol açacağından kısa vadede hisse fiyatı üzerinde olumsuz etki yaratır.",https://www.kap.org.tr/tr/Bildirim/834793
41,SISE,2021-03-30,ODA,Özel Durum Açıklaması (Genel),Yönetim Kurulu Görev Dağılımı,NÖTR,3,-1.0869637780912154,DÜŞTÜ,YANLIŞ,0.40759257367637214,YATAY,DOĞRU,"Yönetim Kurulu görev dağılımı bildirimleri genellikle rutin ve operasyonel nitelikte olup, şirketin finansal performansını veya stratejik yönünü doğrudan değiştiren bir gelişme içermez. Kısa vadede hisse fiyatı üzerinde belirgin bir pozitif veya negatif etki yaratması beklenmez.",https://www.kap.org.tr/tr/Bildirim/921996
42,ENKAI,2019-10-30,ODA,Payların Geri Alınmasına İlişk...,Pay alım bildirimi,NÖTR,2,0.0,YATAY,DOĞRU,-0.17363223887520587,YATAY,DOĞRU,"Bildirilen içerik yalnızca 'Pay alım bildirimi' ifadesinden oluşmakta olup, geri alımın amacı, tutarı, süresi ve kaynakları gibi fiyatı doğrudan etkileyebilecek detaylar yer almamaktadır. Bu nedenle tek başına güçlü bir yön tahmini yapılması güçtür.",https://www.kap.org.tr/tr/Bildirim/795279
43,GARAN,2017-05-22,ODA,Pay Dışında Sermaye Piyasası A...,TRQGRAN51729 ISIN Kodlu Borçlanma Aracı İtfas...,NÖTR,3,1.5723282693689917,YÜKSELDİ,YANLIŞ,1.0482232491763823,YÜKSELDİ,YANLIŞ,Borçlanma aracı itfaları genellikle şirketin bilançosundaki mevcut yükümlülüklerin zamanında veya planlı şekilde kapatılması anlamına gelir. Bu durum operasyonel bir beklenti değişikliği yaratmaz ve hisse fiyatına doğrudan güçlü bir yön tayin etmez.,https://www.kap.org.tr/tr/Bildirim/608482
44,GARAN,2018-08-01,ODA,Pay Dışında Sermaye Piyasası A...,TR0GRAN00UK1 ISIN Kodlu Yapılandırılmış Borçl...,NÖTR,3,-4.36006052362414,DÜŞTÜ,YANLIŞ,-0.140657799449498,YATAY,DOĞRU,"Yapılandırılmış borçlanma aracı itfası, şirketin borç yönetiminde rutin bir operasyonel faaliyettir ve genelde hisse fiyatı üzerinde doğrudan belirleyici bir faktör olarak görülmez.",https://www.kap.org.tr/tr/Bildirim/699582
45,GARAN,2020-04-14,ODA,Pay Dışında Sermaye Piyasası A...,Nitelikli Yatırımcı Yapılandırılmış Borçlanma...,NÖTR,4,-4.07450311070566,DÜŞTÜ,YANLIŞ,-4.772987349569665,DÜŞTÜ,YANLIŞ,"Nitelikli yatırımcılara yönelik yapılandırılmış borçlanma aracı ihracı şirketin genel bilançosu ve operasyonel performansı üzerinde doğrudan önemli bir değişiklik yaratmaz, dolayısıyla hisse fiyatı üzerinde kısa vadede belirgin bir yönlendirme etkisi beklenmez.",https://www.kap.org.tr/tr/Bildirim/837745
46,EKGYO,2016-04-25,ODA,Özel Durum Açıklaması (Genel),Evvel İstanbul - Adım İstanbul Ticari Ünitele...,NÖTR,3,1.7064982385630347,YÜKSELDİ,YANLIŞ,-1.3651855644777766,DÜŞTÜ,YANLIŞ,"İhale süreci duyurusu olup, ihale sonucuna, fiyatlandırma koşullarına ve satışa konu olan ticari ünitelerin büyüklüğüne ilişkin somut bir finansal bilgi bulunmuyor. Bu nedenle kısa vadede yön tayin edici bir etki beklenmiyor.",https://www.kap.org.tr/tr/Bildirim/525472
47,SAHOL,2020-04-02,ODA,Özel Durum Açıklaması (Genel),Grup Başkanı Ataması,NÖTR,2,0.41096446903850953,YATAY,DOĞRU,4.1095881560177325,YÜKSELDİ,YANLIŞ,"Sadece bir grup başkanı ataması bildirimi içerik detayı vermemektedir. Yeni yöneticinin geçmiş performansı, stratejisi veya piyasa beklentileri hakkında bilgi olmadığından hisse fiyatına kısa vadede belirgin bir yön tayin etmek zordur.",https://www.kap.org.tr/tr/Bildirim/834338
48,GARAN,2018-08-07,ODA,Pay Dışında Sermaye Piyasası A...,TR0GRAN00UZ9 ISIN Kodlu Yapılandırılmış Borçl...,NÖTR,4,1.2838756731973509,YÜKSELDİ,YANLIŞ,-12.410841249222711,DÜŞTÜ,YANLIŞ,Yapılandırılmış borçlanma aracının itfası (vadesi gelmesi ve ödemesi) genellikle planlanan bir finansal operasyondur ve şirketin genel finansal sağlığına veya operasyonel performansına doğrudan olumsuz bir etki yaratmaz. Bu nedenle kısa vadede hisse fiyatı üzerinde belirgin bir alım/satım sinyali oluşturmaz.,https://www.kap.org.tr/tr/Bildirim/701009
49,GARAN,2020-04-16,ODA,Özel Durum Açıklaması (Genel),Yurtdışında ihraç edilen borçlanma araçlarını...,NÖTR,3,1.5738614920000764,YÜKSELDİ,YANLIŞ,-1.5738468694511996,DÜŞTÜ,YANLIŞ,"Bankanın yurtdışında ihraç edilmiş kendi borçlanma araçlarını geri alması (repo/spot) genellikle likidite yönetimi veya piyasa koşullarına bağlı bir finansal işlemdir. Bu durum, bankanın temel faaliyet karlılığı veya bilanço gücünü doğrudan ve önemli ölçüde etkileyen bir gelişme olarak yorumlanmayabilir; dolayısıyla kısa vadede hisse fiyatı üzerinde belirgin bir pozitif veya negatif etki yaratması beklenmez.",https://www.kap.org.tr/tr/Bildirim/838722
