date,category,title,description,price_pre_30d,price_event_t0,price_post_5d,price_post_30d,pre_30d_return_pct,event_jump_pct,post_5d_return_pct,post_30d_return_pct
2011-08-04,FAİZ_INDIRIMI,TCMB PPK (Faiz %6.25'ten %5.75'e İndirildi),,632.4,593.26,520.17,566.92,-6.19,-8.24,-12.32,-4.44
2011-09-20,FAİZ_SABİT,TCMB PPK (Faiz %5.75 Sabit),,542.18,608.89,582.61,559.04,12.3,5.0,-4.32,-8.19
2011-10-20,FAİZ_SABİT,TCMB PPK (Koridor Üst Bandı %12.50'ye Artırıldı),,608.28,559.04,566.17,496.21,-8.09,-1.74,1.27,-11.24
2011-11-22,FAİZ_SABİT,TCMB PPK (Faiz %5.75 Sabit),,577.98,519.86,520.93,515.91,-10.06,-3.15,0.2,-0.76
2011-12-22,FAİZ_SABİT,TCMB PPK (Faiz %5.75 Sabit),,510.91,515.91,520.53,551.86,0.98,0.39,0.9,6.97
2012-01-24,FAİZ_SABİT,TCMB PPK (Faiz %5.75 Sabit),,525.17,547.91,571.71,596.66,4.33,-0.48,4.34,8.9
2012-02-21,FAİZ_SABİT,TCMB PPK (Faiz %5.75 Sabit),,551.86,612.52,599.78,617.86,10.99,-0.96,-2.08,0.87
2012-03-27,FAİZ_SABİT,TCMB PPK (Faiz %5.75 Sabit),,588.21,624.91,632.84,605.96,6.24,-1.19,1.27,-3.03
2012-04-19,FAİZ_SABİT,TCMB PPK (Faiz %5.75 Sabit),,620.65,598.48,605.96,557.34,-3.57,-0.01,1.25,-6.87
2012-05-22,FAİZ_SABİT,TCMB PPK (Faiz %5.75 Sabit),,598.48,570.79,554.49,604.39,-4.63,-1.42,-2.86,5.89
2012-06-21,FAİZ_SABİT,TCMB PPK (Faiz %5.75 Sabit),,557.34,604.39,608.22,607.36,8.44,1.77,0.63,0.49
2012-07-19,FAİZ_SABİT,TCMB PPK (Faiz %5.75 Sabit),,594.01,623.4,638.41,661.08,4.95,-1.05,2.41,6.04
2012-08-23,FAİZ_SABİT,TCMB PPK (Faiz %5.75 Sabit),,607.36,660.79,673.68,678.09,8.8,-0.69,1.95,2.62
2012-09-18,FAİZ_SABİT,TCMB PPK (Faiz %5.75 Sabit),,646.11,676.0,678.09,703.55,4.63,-1.44,0.31,4.08
2012-10-18,FAİZ_SABİT,TCMB PPK (Faiz %5.75 Sabit),,671.14,703.55,717.17,699.26,4.83,0.12,1.93,-0.61
2012-11-20,FAİZ_SABİT,TCMB PPK (Faiz %5.75 Sabit),,706.86,706.36,719.99,768.14,-0.07,-0.21,1.93,8.75
2012-12-18,FAİZ_INDIRIMI,TCMB PPK (Faiz %5.75'ten %5.50'ye İndirildi),,706.07,772.98,775.96,850.04,9.48,-0.85,0.39,9.97
2013-01-22,FAİZ_SABİT,TCMB PPK (Faiz %5.50 Sabit),,766.84,856.46,821.78,772.69,11.69,1.24,-4.05,-9.78
2013-02-19,FAİZ_SABİT,TCMB PPK (Faiz %5.50 Sabit),,852.81,782.74,775.14,823.73,-8.22,1.26,-0.97,5.24
2013-03-26,FAİZ_INDIRIMI,TCMB PPK (Faiz %5.50'den %5.00'e İndirildi),,766.7,839.7,860.26,851.12,9.52,1.73,2.45,1.36
2013-04-16,FAİZ_INDIRIMI,TCMB PPK (Faiz %5.00'den %4.50'ye İndirildi),,833.78,847.05,847.8,901.65,1.59,-0.83,0.09,6.45
2013-05-16,FAİZ_SABİT,TCMB PPK (Faiz %4.50 Sabit),,851.07,919.46,913.51,789.46,8.04,-0.2,-0.65,-14.14
2013-06-18,FAİZ_SABİT,TCMB PPK (Faiz %4.50 Sabit),,901.65,777.39,712.14,770.22,-13.78,-0.14,-8.39,-0.92
2013-07-23,FAİZ_SABİT,TCMB PPK (Koridor Üst Bandı %7.25'e Artırıldı),,706.4,753.68,744.2,687.75,6.69,-2.38,-1.26,-8.75
2013-08-20,FAİZ_SABİT,TCMB PPK (Koridor Üst Bandı %7.75'e Artırıldı),,770.22,722.04,655.2,778.62,-6.26,-3.69,-9.26,7.84
2013-09-17,FAİZ_SABİT,TCMB PPK (Faiz %4.50 Sabit),,742.75,747.83,765.29,785.15,0.68,0.54,2.34,4.99
2013-10-23,FAİZ_SABİT,TCMB PPK (Faiz %4.50 Sabit),,746.6,785.15,776.2,765.31,5.16,-0.54,-1.14,-2.53
2013-11-19,FAİZ_SABİT,TCMB PPK (Faiz %4.50 Sabit),,762.35,746.17,755.63,691.0,-2.12,-0.29,1.27,-7.39
2013-12-17,FAİZ_SABİT,TCMB PPK (Faiz %4.50 Sabit),,755.97,709.46,689.97,656.35,-6.15,-4.58,-2.75,-7.49
2014-01-28,FAİZ_ARTISI,TCMB PPK Olağanüstü (Faiz %4.50'den %10.00'a Artırıldı),,638.85,635.43,627.32,617.79,-0.53,-3.84,-1.28,-2.78
2014-02-18,FAİZ_SABİT,TCMB PPK (Faiz %10.00 Sabit),,657.63,641.25,621.23,652.61,-2.49,-3.38,-3.12,1.77
2014-03-18,FAİZ_SABİT,TCMB PPK (Faiz %10.00 Sabit),,655.99,655.73,646.96,735.61,-0.04,2.01,-1.34,12.18
2014-03-30,SEÇİM,30 Mart 2014 Mahalli İdareler Seçimleri,Büyükşehir ve yerel yönetimler seçimi.,617.79,697.36,724.89,751.59,12.88,5.68,3.95,7.78
2014-04-24,FAİZ_SABİT,TCMB PPK (Faiz %10.00 Sabit),,646.96,723.91,751.59,779.95,11.89,-2.43,3.82,7.74
2014-05-22,FAİZ_INDIRIMI,TCMB PPK (Faiz %10.00'dan %9.50'ye İndirildi),,734.76,780.43,793.0,793.26,6.22,2.1,1.61,1.64
2014-06-24,FAİZ_INDIRIMI,TCMB PPK (Faiz %9.50'den %8.75'e İndirildi),,786.03,789.86,771.07,838.24,0.49,-0.41,-2.38,6.13
2014-07-17,FAİZ_INDIRIMI,TCMB PPK (Faiz %8.75'ten %8.25'e İndirildi),,780.92,817.83,838.24,789.57,4.73,0.05,2.5,-3.46
2014-08-10,SEÇİM,10 Ağustos 2014 Cumhurbaşkanlığı Seçimi,Halkın ilk kez doğrudan cumhurbaşkanı seçimi.,789.51,772.71,773.42,795.5,-2.13,-1.29,0.09,2.95
2014-08-27,FAİZ_SABİT,TCMB PPK (Faiz %8.25 Sabit),,838.24,804.67,812.92,746.32,-4.01,0.1,1.03,-7.25
2014-09-25,FAİZ_SABİT,TCMB PPK (Faiz %8.25 Sabit),,804.67,745.9,738.58,798.98,-7.3,-0.75,-0.98,7.12
2014-10-23,FAİZ_SABİT,TCMB PPK (Faiz %8.25 Sabit),,768.69,794.94,805.79,835.3,3.41,1.71,1.36,5.08
2014-11-20,FAİZ_SABİT,TCMB PPK (Faiz %8.25 Sabit),,776.45,825.11,846.88,851.43,6.27,2.23,2.64,3.19
2014-12-24,FAİZ_SABİT,TCMB PPK (Faiz %8.25 Sabit),,835.3,848.21,857.21,914.12,1.55,0.4,1.06,7.77
2015-01-20,FAİZ_INDIRIMI,TCMB PPK (Faiz %8.25'ten %7.75'e İndirildi),,835.73,892.0,911.5,864.14,6.73,2.62,2.19,-3.12
2015-02-24,FAİZ_INDIRIMI,TCMB PPK (Faiz %7.75'ten %7.50'ye İndirildi),,914.12,866.91,843.03,814.82,-5.17,0.52,-2.75,-6.01
2015-03-17,FAİZ_SABİT,TCMB PPK (Faiz %7.50 Sabit),,860.4,800.3,820.32,824.36,-6.98,2.23,2.5,3.01
2015-04-22,FAİZ_SABİT,TCMB PPK (Faiz %7.50 Sabit),,820.32,837.8,839.47,842.92,2.13,1.51,0.2,0.61
2015-05-20,FAİZ_SABİT,TCMB PPK (Faiz %7.50 Sabit),,824.36,877.91,842.92,824.54,6.5,-2.35,-3.99,-6.08
2015-06-07,SEÇİM,7 Haziran 2015 Genel Seçimleri,Koalisyon arayışı ve belirsizlik süreci başlangıcı.,824.41,778.05,789.51,803.86,-5.62,-5.28,1.47,3.32
2015-06-23,FAİZ_SABİT,TCMB PPK (Faiz %7.50 Sabit),,845.67,830.68,822.49,787.12,-1.77,0.86,-0.99,-5.24
2015-07-23,FAİZ_SABİT,TCMB PPK (Faiz %7.50 Sabit),,830.68,783.36,782.71,713.42,-5.7,-3.09,-0.08,-8.93
2015-08-18,FAİZ_SABİT,TCMB PPK (Faiz %7.50 Sabit),,813.2,759.6,735.09,749.8,-6.59,-2.11,-3.23,-1.29
2015-09-22,FAİZ_SABİT,TCMB PPK (Faiz %7.50 Sabit),,713.42,749.93,745.31,792.62,5.12,-1.65,-0.62,5.69
2015-10-21,FAİZ_SABİT,TCMB PPK (Faiz %7.50 Sabit),,750.99,797.65,785.36,797.44,6.21,-0.3,-1.54,-0.03
2015-11-01,SEÇİM,1 Kasım 2015 Erken Genel Seçimleri,Tek parti iktidarının yeniden tesisi.,742.05,836.93,820.5,763.95,12.79,5.57,-1.96,-8.72
2015-11-24,FAİZ_SABİT,TCMB PPK (Faiz %7.50 Sabit),,801.24,762.43,767.85,740.5,-4.84,-3.65,0.71,-2.88
2015-12-22,FAİZ_SABİT,TCMB PPK (Faiz %7.50 Sabit),,797.44,731.02,739.12,702.44,-8.33,0.98,1.11,-3.91
2016-01-19,FAİZ_SABİT,TCMB PPK (Faiz %7.50 Sabit),,724.6,710.73,718.09,734.46,-1.91,-2.02,1.04,3.34
2016-02-23,FAİZ_SABİT,TCMB PPK (Faiz %7.50 Sabit),,705.39,754.99,759.55,813.58,7.03,-1.1,0.6,7.76
2016-03-24,FAİZ_SABİT,TCMB PPK (Koridor Üst Bandı %10.50 İndirildi),,740.67,813.58,832.68,851.09,9.84,1.21,2.35,4.61
2016-04-20,FAİZ_SABİT,TCMB PPK (Koridor Üst Bandı %10.00 İndirildi),,817.66,855.5,853.74,767.65,4.63,-0.67,-0.21,-10.27
2016-05-24,FAİZ_SABİT,TCMB PPK (Koridor Üst Bandı %9.50 İndirildi),,858.28,794.34,778.03,779.89,-7.45,2.4,-2.05,-1.82
2016-06-21,FAİZ_SABİT,TCMB PPK (Koridor Üst Bandı %9.00 İndirildi),,767.65,775.31,769.29,736.89,1.0,-0.33,-0.78,-4.96
2016-07-19,FAİZ_SABİT,TCMB PPK (Darbe Girişimi Sonrası Faiz Sabit),,762.37,761.77,736.89,779.7,-0.08,-2.67,-3.27,2.35
2016-08-23,FAİZ_SABİT,TCMB PPK (Koridor Üst Bandı %8.50 İndirildi),,741.74,773.33,759.67,770.76,4.26,-2.36,-1.77,-0.33
2016-09-22,FAİZ_SABİT,TCMB PPK (Koridor Üst Bandı %8.25 İndirildi),,781.47,797.95,770.76,799.32,2.11,2.36,-3.41,0.17
2016-10-20,FAİZ_SABİT,TCMB PPK (Faiz %7.50 Sabit),,779.15,792.52,787.39,755.43,1.72,-0.46,-0.65,-4.68
2016-11-24,FAİZ_ARTISI,TCMB PPK (Faiz %7.50'den %8.00'e Artırıldı),,793.97,741.93,725.2,770.28,-6.56,-0.9,-2.26,3.82
2016-12-20,FAİZ_SABİT,TCMB PPK (Faiz %8.00 Sabit),,755.43,778.07,766.99,823.0,3.0,0.6,-1.42,5.77
2017-01-24,FAİZ_SABİT,TCMB PPK (Geç Likidite Penceresi %11.00 Yapıldı),,770.28,842.07,862.95,891.38,9.32,0.1,2.48,5.86
2017-03-16,FAİZ_SABİT,TCMB PPK (GLP %11.75'e Yükseltildi),,878.82,902.68,897.64,906.53,2.72,1.17,-0.56,0.43
2017-04-16,REFERANDUM,16 Nisan 2017 Anayasa Referandumu,Cumhurbaşkanlığı Hükümet Sistemi kabulü.,902.68,906.53,938.02,951.47,0.43,1.67,3.47,4.96
2017-04-26,FAİZ_SABİT,TCMB PPK (GLP %12.25'e Yükseltildi),,901.81,945.22,930.38,973.47,4.81,-0.37,-1.57,2.99
2017-06-15,FAİZ_SABİT,TCMB PPK (Faiz %8.00 Sabit),,961.61,987.36,1000.72,1074.17,2.68,-1.45,1.35,8.79
2017-07-27,FAİZ_SABİT,TCMB PPK (Faiz %8.00 Sabit),,1006.17,1083.91,1071.53,1103.39,7.73,0.46,-1.14,1.8
2017-09-14,FAİZ_SABİT,TCMB PPK (Faiz %8.00 Sabit),,1069.63,1082.44,1040.01,1064.74,1.2,-0.38,-3.92,-1.63
2017-10-26,FAİZ_SABİT,TCMB PPK (Faiz %8.00 Sabit),,1012.18,1073.34,1129.94,1047.59,6.04,-0.43,5.27,-2.4
2017-12-14,FAİZ_SABİT,TCMB PPK (GLP %12.75'e Yükseltildi),,1077.16,1096.66,1112.71,1165.92,1.81,1.09,1.46,6.32
2018-01-18,FAİZ_SABİT,TCMB PPK (Faiz %8.00 Sabit),,1102.47,1168.55,1186.03,1158.81,5.99,-1.24,1.5,-0.83
2018-03-07,FAİZ_SABİT,TCMB PPK (Faiz %8.00 Sabit),,1154.57,1168.42,1175.92,1147.37,1.2,-0.12,0.64,-1.8
2018-04-25,FAİZ_ARTISI,TCMB PPK (GLP %13.50'ye Yükseltildi),,1164.2,1074.01,1029.09,1065.25,-7.75,-2.77,-4.18,-0.82
2018-05-23,FAİZ_ARTISI,TCMB PPK Olağanüstü (GLP %16.50'ye Artırıldı),,1109.32,1018.91,1038.68,940.08,-8.15,-2.12,1.94,-7.74
2018-06-07,FAİZ_ARTISI,TCMB PPK Sadeleşme (Politika Faizi %17.75 Yapıldı),,1007.8,986.23,945.4,962.74,-2.14,-0.81,-4.14,-2.38
2018-06-24,SEÇİM,24 Haziran 2018 Cumhurbaşkanlığı ve Genel Seçimleri,Yeni hükümet sistemine fiili geçiş.,1018.91,940.08,967.73,953.68,-7.74,-0.68,2.94,1.45
2018-07-24,FAİZ_SABİT,TCMB PPK (Faiz %17.75 Sabit),,940.08,921.33,969.52,932.8,-1.99,0.07,5.23,1.24
2018-09-13,FAİZ_ARTISI,TCMB 625 bps Faiz Artışı (%17.75 -> %24.00),,969.73,944.19,961.21,986.31,-2.63,2.75,1.8,4.46
2018-10-25,FAİZ_SABİT,TCMB PPK (Faiz %24.00 Sabit),,991.48,937.47,941.22,935.17,-5.45,-2.32,0.4,-0.25
2018-12-13,FAİZ_SABİT,TCMB PPK (Faiz %24.00 Sabit),,932.87,913.86,918.54,954.11,-2.04,0.53,0.51,4.4
2019-01-16,FAİZ_SABİT,TCMB PPK (Faiz %24.00 Sabit),,905.28,954.11,1001.4,1027.14,5.39,3.91,4.96,7.65
2019-03-06,FAİZ_SABİT,TCMB PPK (Faiz %24.00 Sabit),,1024.48,1034.52,1021.96,987.83,0.98,-1.4,-1.21,-4.51
2019-03-31,SEÇİM,31 Mart 2019 Mahalli İdareler Seçimleri,Büyükşehir belediyelerinde yönetim değişimi.,1045.29,941.01,969.78,939.46,-9.98,1.53,3.06,-0.16
2019-04-25,FAİZ_SABİT,TCMB PPK (Faiz %24.00 Sabit),,973.78,944.98,939.46,867.77,-2.96,-1.41,-0.58,-8.17
2019-06-12,FAİZ_SABİT,TCMB PPK (Faiz %24.00 Sabit),,886.85,926.05,942.44,970.98,4.42,-2.5,1.77,4.85
2019-06-23,SEÇİM,23 Haziran 2019 İstanbul Yenileme Seçimi,İstanbul Büyükşehir Belediye Başkanlığı yenileme seçimi.,867.71,951.82,997.35,1020.44,9.69,1.34,4.78,7.21
2019-07-25,FAİZ_INDIRIMI,TCMB 425 bps Faiz İndirimi (%24.00 -> %19.75),,954.21,1020.44,1019.0,967.18,6.94,-0.6,-0.14,-5.22
2019-09-12,FAİZ_INDIRIMI,TCMB 325 bps Faiz İndirimi (%19.75 -> %16.50),,992.08,1024.47,1003.38,939.81,3.26,1.13,-2.06,-8.26
2019-10-24,FAİZ_INDIRIMI,TCMB 250 bps Faiz İndirimi (%16.50 -> %14.00),,1026.18,1003.45,984.62,1059.83,-2.21,0.43,-1.88,5.62
2019-12-12,FAİZ_INDIRIMI,TCMB 200 bps Faiz İndirimi (%14.00 -> %12.00),,1048.28,1101.14,1105.99,1209.38,5.04,2.37,0.44,9.83
2020-01-16,FAİZ_INDIRIMI,TCMB PPK (Faiz %12.00'den %11.25'e İndirildi),,1111.25,1210.0,1225.4,1207.91,8.89,0.44,1.27,-0.17
2020-02-19,FAİZ_INDIRIMI,TCMB PPK (Faiz %11.25'ten %10.75'e İndirildi),,1235.55,1191.95,1151.71,857.95,-3.53,-3.29,-3.38,-28.02
2020-03-17,FAİZ_INDIRIMI,TCMB PPK Pandemi (Faiz %10.75'ten %9.75'e İndirildi),,1207.91,867.77,892.86,962.49,-28.16,-2.63,2.89,10.91
2020-04-22,FAİZ_INDIRIMI,TCMB PPK (Faiz %9.75'ten %8.75'e İndirildi),,892.86,981.7,1011.1,1055.2,9.95,1.17,2.99,7.49
2020-05-21,FAİZ_INDIRIMI,TCMB PPK (Faiz %8.75'ten %8.25'e İndirildi),,981.79,1026.48,1072.66,1144.48,4.55,0.85,4.5,11.5
2020-06-25,FAİZ_SABİT,TCMB PPK (Faiz %8.25 Sabit),,1049.53,1141.38,1169.07,1152.69,8.75,0.19,2.43,0.99
2020-07-23,FAİZ_SABİT,TCMB PPK (Faiz %8.25 Sabit),,1153.38,1190.31,1126.89,1098.99,3.2,0.95,-5.33,-7.67
2020-08-20,FAİZ_SABİT,TCMB PPK (Faiz %8.25 Sabit),,1192.8,1126.79,1108.89,1086.99,-5.53,-1.32,-1.59,-3.53
2020-09-24,FAİZ_ARTISI,TCMB 200 bps Sürpriz Faiz Artışı (%8.25 -> %10.25),,1098.99,1119.59,1143.49,1144.49,1.87,1.95,2.13,2.22
2020-10-22,FAİZ_SABİT,TCMB PPK (Faiz %10.25 Sabit),,1102.69,1198.29,1112.39,1320.99,8.67,-1.73,-7.17,10.24
2020-11-06,POLİTİKA_ŞOKU,Ekonomi Yönetimi Değişimi & Naci Ağbal Ataması,Ortodoks politikalara geçiş ve sıkılaşma süreci başlangıcı.,1152.39,1191.99,1291.29,1339.89,3.44,4.36,8.33,12.41
2020-11-19,FAİZ_ARTISI,Naci Ağbal Dönemi 475 bps Faiz Artışı (%10.25 -> %15.00),,1210.39,1312.99,1342.49,1384.39,8.48,2.26,2.25,5.44
2020-12-24,FAİZ_ARTISI,TCMB 200 bps Faiz Artışı (%15.00 -> %17.00),,1325.49,1425.99,1495.39,1466.99,7.58,1.52,4.87,2.88
2021-01-21,FAİZ_SABİT,TCMB PPK (Faiz %17.00 Sabit),,1384.39,1551.59,1498.29,1550.59,12.08,-1.71,-3.44,-0.06
2021-02-18,FAİZ_SABİT,TCMB PPK (Faiz %17.00 Sabit),,1569.39,1546.39,1488.19,1379.29,-1.47,1.28,-3.76,-10.81
2021-03-18,FAİZ_ARTISI,TCMB 200 bps Faiz Artışı (%17.00 -> %19.00),,1540.59,1550.89,1394.39,1365.29,0.67,-2.12,-10.09,-11.97
2021-03-22,POLİTİKA_ŞOKU,TCMB Başkan Değişimi Şoku,Başkan değişimi sonrası piyasa oynaklığı ve sert fiyatlama.,1560.29,1379.29,1392.59,1345.19,-11.6,-9.91,0.96,-2.47
2021-04-15,FAİZ_SABİT,TCMB PPK (Şahap Kavcıoğlu İlk Karar %19.00 Sabit),,1570.39,1407.79,1345.19,1451.79,-10.35,-0.08,-4.45,3.13
2021-05-06,FAİZ_SABİT,TCMB PPK (Faiz %19.00 Sabit),,1420.59,1427.69,1454.29,1456.69,0.5,1.5,1.86,2.03
2021-06-17,FAİZ_SABİT,TCMB PPK (Faiz %19.00 Sabit),,1459.59,1414.19,1410.79,1349.09,-3.11,-2.81,-0.24,-4.6
2021-07-14,FAİZ_SABİT,TCMB PPK (Faiz %19.00 Sabit),,1442.59,1367.29,1360.79,1444.59,-5.22,1.23,-0.48,5.65
2021-08-12,FAİZ_SABİT,TCMB PPK (Faiz %19.00 Sabit),,1390.59,1444.49,1439.89,1434.39,3.88,2.6,-0.32,-0.7
2021-09-23,FAİZ_INDIRIMI,TCMB Faiz İndirim Döngüsü Başlangıcı (%19.00 -> %18.00),,1465.89,1401.49,1406.39,1492.89,-4.39,-1.62,0.35,6.52
2021-10-21,FAİZ_INDIRIMI,TCMB 200 bps Faiz İndirimi (%18.00 -> %16.00),,1407.49,1455.39,1521.99,1784.59,3.4,3.29,4.58,22.62
2021-11-18,FAİZ_INDIRIMI,TCMB 100 bps Faiz İndirimi (%16.00 -> %15.00),,1429.89,1736.89,1819.19,2056.39,21.47,1.78,4.74,18.39
2021-12-16,FAİZ_INDIRIMI,TCMB 100 bps Faiz İndirimi (%15.00 -> %14.00),,1706.99,2278.59,1805.29,2085.79,33.49,-3.6,-20.77,-8.46
2021-12-20,POLİTİKA_ŞOKU,Kur Korumalı Mevduat (KKM) Açıklaması,Döviz kurlarında sert geri çekilme ve yeni mevduat enstrümanı.,1737.29,2056.39,1897.09,2042.09,18.37,-9.23,-7.75,-0.7
2022-01-20,FAİZ_SABİT,TCMB PPK (Faiz %14.00 Sabit),,1804.19,2014.19,1997.69,2038.09,11.64,-1.51,-0.82,1.19
2022-02-17,FAİZ_SABİT,TCMB PPK (Faiz %14.00 Sabit),,2042.09,2009.99,1851.39,2174.99,-1.57,-0.44,-7.89,8.21
2022-03-17,FAİZ_SABİT,TCMB PPK (Faiz %14.00 Sabit),,2041.39,2133.59,2176.19,2510.29,4.52,2.66,2.0,17.66
2022-04-14,FAİZ_SABİT,TCMB PPK (Faiz %14.00 Sabit),,2088.79,2475.39,2556.79,2372.39,18.51,1.38,3.29,-4.16
2022-05-26,FAİZ_SABİT,TCMB PPK (Faiz %14.00 Sabit),,2556.79,2450.79,2601.59,2529.29,-4.15,0.86,6.15,3.2
2022-06-23,FAİZ_SABİT,TCMB PPK (Faiz %14.00 Sabit),,2418.09,2543.19,2405.39,2543.29,5.17,-0.78,-5.42,0.0
2022-07-21,FAİZ_SABİT,TCMB PPK (Faiz %14.00 Sabit),,2533.29,2511.39,2543.29,3062.48,-0.86,-0.34,1.27,21.94
2022-08-18,FAİZ_INDIRIMI,TCMB Sürpriz Faiz İndirimi (%14.00 -> %13.00),,2525.19,3019.98,3136.78,3277.48,19.59,1.35,3.87,8.53
2022-09-22,FAİZ_INDIRIMI,TCMB 100 bps Faiz İndirimi (%13.00 -> %12.00),,3121.48,3295.28,3146.88,3977.48,5.57,1.1,-4.5,20.7
2022-10-20,FAİZ_INDIRIMI,TCMB 150 bps Faiz İndirimi (%12.00 -> %10.50),,3245.78,3900.88,3934.48,4570.28,20.18,1.4,0.86,17.16
2022-11-24,FAİZ_INDIRIMI,TCMB Tek Hane Faiz İndirimi (%10.50 -> %9.00),,3976.38,4858.17,5046.17,5504.07,22.18,0.41,3.87,13.3
2022-12-22,FAİZ_SABİT,TCMB PPK (Faiz %9.00 Sabit),,4854.17,5447.17,5476.87,5404.37,12.22,0.47,0.55,-0.79
2023-01-19,FAİZ_SABİT,TCMB PPK (Faiz %9.00 Sabit),,5429.07,5422.37,5230.97,5058.77,-0.12,1.97,-3.53,-6.71
2023-02-23,FAİZ_INDIRIMI,TCMB Deprem Sonrası Faiz İndirimi (%9.00 -> %8.50),,5422.37,5086.17,5261.37,4997.77,-6.2,-0.25,3.44,-1.74
2023-03-23,FAİZ_SABİT,TCMB PPK (Faiz %8.50 Sabit),,5071.37,5061.97,4896.07,4890.97,-0.19,0.62,-3.28,-3.38
2023-04-27,FAİZ_SABİT,TCMB PPK (Faiz %8.50 Sabit),,4811.47,4789.57,4400.78,4886.87,-0.46,-3.46,-8.12,2.03
